            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau     time  umdpAlg     ubTime       ub     lb  p1  p2  p3    disp  dispReal  umdpTime  timeLastEC      ecTtb  ecIterTb  ecNumAlt   ecTime  ecInsertTime    ecNodes      lsTime  lsAltImpr  lsSteps  lsShifts  lsSwaps  ferIter  ferAvgColTime  ferMaxColTime
  weee-3600-59-075-5          weee  3600  59  6478139  0.75        62     1  0.001   none      umdp    1  1800.05       ec    26.2853  6478138  30986   4   8   8  184209  0.992356   1772.13     1724.33    75.6731        30        31  1772.07        1760.4  113816145     2.51704         31     2238      1754      453        0             NA              0
  weee-1200-23-050-8          weee  1200  23   719401   0.5         0     1  0.001   none      umdp    1     1800       ec   0.602232   719400    909   4   8   8   18523  0.949079   1799.25        1799    1.00583         5         6  1799.25          1799  324300356    0.069617          6      235       180       49        0             NA              0
  weee-2000-35-050-6          weee  2000  35  1998994   0.5         7     1  0.001   none      umdp    1  1800.01       ec    3.56278  1998993  18129   4   8   8   62788    1.0489   1796.02     1785.18    14.8253        92        93     1796       1786.75  184604365    0.779679         78     1320       812      415        0             NA              0
 study-1200-23-000-2         study  1200  23       58     0    719343     1  0.001   none      umdp    1    308.3       ec   0.257264       57     12   4   8   8      18        30   307.828     162.688    1.20221        15        46   307.82       305.914   20016151    0.157008         39      451       374       31        0             NA              0
 study-2800-47-010-2         study  2800  47       61   0.1   3918540     1  0.001   none      umdp    1  1800.03       ec    4.13241       60     12   4   8   8      19        31   1794.11     1341.05    35.7043        88        93  1794.07       1772.79   42691454      1.2423         81     1145       981       71        0             NA              0
  weee-4000-65-075-2          weee  4000  65  7997897  0.75       104     1  0.001   none      umdp    1  1800.05       ec    37.2412  7997896  42405   4   8   8  284369   1.11578    1760.6     153.226    1646.79       670       671  1760.53       1494.75   70737876     10.0201        500     5718      2612     2435        0             NA              0
  weee-3200-53-100-3          weee  3200  53  5118372     1        29     1  0.001   none      umdp    1  1800.03       ec    17.5443  5118371  15137   4   8   8  165692     1.059   1781.22     1695.42    104.576       200       202  1781.18       1728.05  125585807     3.96841        168     3516      2250     1064        0             NA              0
  study-800-17-010-1         study   800  17       55   0.1    319546     1  0.001   none      umdp    1     1800       ec  0.0802077       54      9   4   8   8      16        31   1799.84     496.427   0.732745        30        33  1799.84       1799.31  197154592    0.059205         27      302       246       23        0             NA              0
  weee-3600-59-025-3          weee  3600  59  6478127  0.25        74     1  0.001   none      umdp    1  1800.03       ec    26.8328  6478126  31941   4   8   8  216931   1.08062   1771.38     637.335    1162.67       321       322  1771.34       1668.14   95353781     5.26827        266     3454      1539     1593        0             NA              0
  weee-2000-35-025-3          weee  2000  35  1998996  0.25         5     1  0.001   none      umdp    1  1800.01       ec    3.95574  1998995  15181   4   8   8   62486   1.03687   1795.54      1780.5    19.5051       118       119  1795.52       1783.66  180925466    0.870829         97     1242       647      476        0             NA              0
 weee-2400-41-025-10          weee  2400  41  2878788  0.25        13     1  0.001   none      umdp    1  1800.01       ec    6.82392  2878787  24532   4   8   8  103643    1.1216   1792.55      1532.3    267.704       422       423  1792.53       1733.47  146147086     2.69867        305     2810      1079     1308        0             NA              0
